,training_error,full_test_error
0,11.92333333333333,63.050000000000004
1,9.486666666666665,66.53999999999999
2,9.13666666666667,68.34
3,8.914999999999996,70.39999999999999
4,8.768333333333334,71.83999999999999
5,8.646666666666668,72.63999999999999
6,8.583333333333332,73.15
7,8.481666666666666,73.7
8,8.446666666666669,74.18
9,8.408333333333328,74.71
10,8.366666666666667,75.18
11,8.33166666666667,75.61
12,8.313333333333329,75.88000000000001
13,8.28833333333333,76.12
14,8.274999999999999,76.33
15,8.243333333333336,76.61
16,8.245000000000003,76.76
17,8.230000000000004,76.85
18,8.228333333333337,76.92
19,8.220000000000006,77.0
20,8.204999999999995,77.05
21,8.208333333333329,77.03
22,8.184999999999999,77.13
23,8.189999999999998,77.25
24,8.179999999999998,77.35
25,8.171666666666667,77.39
26,8.17,77.44
27,8.168333333333333,77.56
28,8.140000000000002,77.61
29,8.128333333333337,77.7
30,8.086666666666664,77.7
31,8.079999999999998,77.72
32,8.068333333333333,77.81
33,8.056666666666668,77.85
34,8.040000000000003,77.86999999999999
35,8.030000000000005,77.89
36,8.016666666666673,77.9
37,8.001666666666662,77.92999999999999
38,8.003333333333329,77.92999999999999
39,7.9949999999999966,77.98
40,7.9999999999999964,78.0
41,7.9999999999999964,78.01
42,7.991666666666664,78.05
43,7.983333333333331,78.07
44,7.976666666666665,78.12
45,7.984999999999998,78.14999999999999
46,7.984999999999998,78.17
47,7.981666666666665,78.17
48,7.971666666666666,78.18
49,7.966666666666667,78.2
50,7.961666666666667,78.23
51,7.950000000000001,78.25
52,7.946666666666669,78.3
53,7.933333333333337,78.32000000000001
54,7.916666666666671,78.34
55,7.916666666666671,78.37
56,7.920000000000005,78.37
57,7.925000000000004,78.41
58,7.923333333333337,78.42
59,7.920000000000005,78.47999999999999
