,training_error,full_test_error
0,31.52166666666667,24.370000000000005
1,21.199999999999996,20.240000000000002
2,19.563333333333333,21.26
3,18.764999999999997,18.899999999999995
4,16.561666666666664,10.040000000000004
5,9.483333333333333,9.719999999999995
6,9.24166666666667,9.370000000000001
7,8.701666666666663,9.240000000000004
8,8.338333333333336,9.409999999999997
9,7.996666666666663,9.79
10,7.8316666666666706,8.66
11,7.46,8.489999999999998
12,7.258333333333333,8.179999999999998
13,7.213333333333338,8.409999999999995
14,6.901666666666662,7.66
15,6.711666666666671,7.440000000000002
16,6.664999999999999,7.979999999999999
17,6.431666666666668,9.57
18,6.431666666666668,7.379999999999997
19,6.205000000000005,7.8400000000000025
20,6.033333333333335,7.869999999999999
21,5.87833333333333,7.110000000000005
22,5.841666666666667,7.450000000000001
23,5.600000000000005,6.979999999999997
24,5.540000000000001,7.16
25,5.545,6.559999999999999
26,5.259999999999998,6.75
27,5.308333333333337,7.130000000000003
28,5.166666666666664,6.510000000000005
29,5.143333333333333,6.540000000000001
30,5.123333333333335,7.299999999999995
31,4.833333333333334,6.769999999999998
32,4.90666666666667,7.040000000000002
33,4.784999999999995,6.879999999999997
34,4.795000000000005,6.6400000000000015
35,4.695000000000005,6.989999999999997
36,4.764999999999997,6.740000000000002
37,4.5016666666666705,6.389999999999995
38,4.5016666666666705,7.099999999999995
39,4.448333333333332,7.46
40,4.566666666666663,7.550000000000001
41,4.3733333333333295,6.989999999999997
42,4.328333333333334,7.5600000000000005
43,4.336666666666666,7.279999999999998
44,4.181666666666661,6.679999999999997
45,4.320000000000002,6.959999999999999
46,4.425000000000001,7.389999999999997
47,4.271666666666663,7.479999999999998
48,4.20666666666667,6.730000000000002
49,4.086666666666671,7.199999999999996
50,4.0116666666666685,6.840000000000002
51,4.035,7.199999999999996
52,4.016666666666668,6.259999999999999
53,4.020000000000001,7.279999999999998
54,3.974999999999995,7.46
55,3.9316666666666666,7.020000000000004
56,3.9100000000000024,7.199999999999996
57,3.8633333333333297,6.620000000000004
58,3.6866666666666714,7.189999999999996
59,3.5466666666666646,6.979999999999997
