,training_error,full_test_error
0,37.30833333333333,20.720000000000006
1,14.488333333333337,16.74
2,12.11,12.809999999999999
3,11.171666666666669,10.550000000000004
4,10.184999999999999,9.089999999999998
5,9.443333333333337,9.109999999999996
6,9.045000000000003,8.360000000000001
7,8.525000000000006,10.799999999999999
8,8.230000000000004,9.670000000000002
9,7.823333333333338,7.789999999999997
10,7.536666666666669,8.27
11,7.163333333333332,8.220000000000006
12,7.196666666666662,7.420000000000004
13,7.063333333333333,8.46
14,6.6333333333333355,7.330000000000004
15,6.510000000000005,8.540000000000003
16,6.3583333333333325,7.340000000000002
17,6.228333333333335,8.07
18,6.058333333333332,7.15
19,5.938333333333334,7.550000000000001
20,5.7016666666666715,7.310000000000006
21,5.730000000000002,6.999999999999995
22,5.754999999999999,8.109999999999996
23,5.486666666666662,6.76
24,5.476666666666663,7.489999999999997
25,5.510000000000003,7.469999999999999
26,5.351666666666666,6.9200000000000035
27,5.196666666666672,7.089999999999996
28,5.0849999999999955,7.0699999999999985
29,5.105000000000004,7.040000000000002
30,5.091666666666672,7.5699999999999985
31,4.923333333333336,6.76
32,4.936666666666667,6.689999999999996
33,4.74,7.350000000000001
34,4.9383333333333335,8.309999999999995
35,4.80666666666667,6.940000000000001
36,4.813333333333336,7.0699999999999985
37,4.7183333333333355,7.06
38,4.7233333333333345,7.86
39,4.591666666666672,7.130000000000003
40,4.571666666666663,6.9100000000000055
41,4.625000000000002,6.540000000000001
42,4.71166666666667,6.069999999999998
43,4.674999999999995,6.730000000000002
44,4.428333333333335,7.920000000000005
45,4.45833333333333,7.199999999999996
46,4.388333333333339,7.330000000000004
47,4.193333333333338,6.459999999999999
48,4.21166666666667,6.389999999999995
49,4.21166666666667,7.5699999999999985
50,4.193333333333338,6.940000000000001
51,4.013333333333335,6.830000000000003
52,4.051666666666664,6.840000000000002
53,4.036666666666666,6.320000000000004
54,4.008333333333336,6.510000000000005
55,3.974999999999995,6.320000000000004
56,3.8599999999999968,6.279999999999997
57,3.820000000000001,6.0799999999999965
58,3.6800000000000055,6.2999999999999945
59,3.7483333333333313,6.930000000000003
